Webpage,FC Part ID,Item,Description,Source,Source Part Number,onhand,onhold,available,Credits Price,Max Qty
https://firstchoicebyandymark.com/fc-3m-0893,fc-3m-0893,"Heat Shrink, Thin-Wall Tubing, 1/8 in., 4 ft. length, FP 301 (80611600893)","3M™ Heat Shrink Tubing FP-301 is a general purpose, thin wall tubing that provides a balance of electrical, physical and chemical properties, making it ideal for industrial and military applications. This tubing has a 2:1 shrink ratio and provides flame retardant insulation for 600V rated applications. It has a flexible polyolefin construction that offers moisture seal protection.",3M,80611600893,120,0,120,5,20
https://firstchoicebyandymark.com/fc-3m-1979,fc-3m-1979,"Duct Tape, Red (70006315215)","Constructed of polyethylene film laminated to cloth with a rubber adhesive, this durable tape resists curling and tears off the roll cleanly for easy application in MRO/construction. Our Multi-Purpose Duct Tape 3900 has a unique construction that allows for permanent and temporary applications.",3M,70006315215,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-3m-2206,fc-3m-2206,"Heat Shrink, Thin-Wall Tubing, 1/2 in., 4 ft. length, FP301 (80611601206)","3M™ Heat Shrink Tubing FP-301 is a general purpose, thin wall tubing that provides a balance of electrical, physical and chemical properties, making it ideal for industrial and military applications. This tubing has a 2:1 shrink ratio and provides flame retardant insulation for 600V rated applications. It has a flexible polyolefin construction that offers moisture seal protection.",3M,80611601206,33,0,33,5,20
https://firstchoicebyandymark.com/fc-3m-3525,fc-3m-3525,"Duct Tape, Yellow (70006315199)","Constructed of polyethylene film laminated to cloth with a rubber adhesive, this durable tape resists curling and tears off the roll cleanly for easy application in MRO/construction. Our Multi-Purpose Duct Tape 3900 has a unique construction that allows for permanent and temporary applications.",3M,70006315199,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-3m-4993,fc-3m-4993,"Command Strip, cord clips (70006910965)","No more dangerous, tangled cords behind your computers, appliances and entertainment centers! Command™ Cord Organizers are perfect for work and home offices, as well as entertainment areas, where they keep cords organized and safely out of the way. Command™ Cord Organizers hold strongly on a variety of surfaces, including paint, wood, tile and more. They also come off cleanly - no holes, marks, sticky residue or stains - and if you need to re-organize your cords, it's as easy as applying a Command™ Refill Strip, so you can use them again and again!",3M,70006910965,302,0,302,5,20
https://firstchoicebyandymark.com/fc-3m-5106,fc-3m-5106,"Vinyl Electrical Tape, Green (80610834048)","Scotch® Vinyl Electrical Tape 35 is a premium-grade, 7-mil thick polyvinyl chloride (PVC) color-coding tape. Outstanding electrical and mechanical properties make this tape excellent for use in phase identification, color coding of motor leads and piping systems.",3M,80610834048,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-3m-5738,fc-3m-5738,"2-Position & 4-Position Link Connectors, Qty 10 each with 6ft Cable (JE150416673,JE150279733,JE150399689)",A kit of 3 products:,3M,38102-0018-000FL38104-0018-000FL79100-075-4F1,405,0,405,10,20
https://firstchoicebyandymark.com/fc-3m-7040,fc-3m-7040,"VHB Tape, roll (70006291440)","Dream, Design, Deliver with 3M™ VHB™ Tape 5952. It is a black, 0.045 in (1.1 mm) modified acrylic adhesive with a very conformable, foam core. It can replace rivets, welds and screws. The fast and easy to use permanent bonding method provides high strength and long-term durability. It offers design flexibility with its viscoelasticity and powerful ability to bond a variety of surfaces.",3M,70006291440,622,0,622,50,20
https://firstchoicebyandymark.com/fc-3m-8561,fc-3m-8561,Industrial RJ45 Modular Plug (3R108-0000-000CE),Kit to make RJ45 connector,3M,3R108-0000-000CE,1725,0,1725,5,20
https://firstchoicebyandymark.com/fc-3m-9711,fc-3m-9711,"Command Strip, light clips (70006906575)","Command™ Outdoor Light Clips give you the freedom to hang your holiday lights in new places outdoors. Now you have a damage-free way to string your lights around a door, up the siding, under the soffits, around a window, or along the gutter all without nails or screws. Using a new formulation of the revolutionary Command™ Adhesive, these Outdoor Hooks are specially designed to hold strongly outdoors - they are water resistant, UV resistant, and can handle temperature extremes from -20 degrees F to 125 degrees F! And like all Command™ Products, they remove cleanly - with no holes, marks, stains or sticky residue. Contains 16 light clips and 20 outdoor strips.",3M,70006906575,2213,0,2213,10,20
